Canon_SMILES,chembl_id,activity_type,value,units,assay_chembl_id,assay_description
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CHEMBL429,Log K',0.14,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CHEMBL34259,Log K',0.77,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,CHEMBL822,Log K',1.17,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,CHEMBL1072,Log K',0.03,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL471,Log K',0.44,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,CHEMBL499,Log K',0.33,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,CHEMBL611,Log K',0.16,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,Log K',0.75,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CHEMBL65,Log K',0.08,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C=CCc1ccccc1OCC(O)CNC(C)C,CHEMBL266195,Log K',0.04,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,CHEMBL374975,Log K',0.33,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=c1c2ccccc2[se]n1-c1ccccc1,CHEMBL51085,Log K',1.04,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL44657,Log K',0.49,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,CHEMBL741,Log K',0.13,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,CHEMBL517712,Log B/F,1.004,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CHEMBL1082,Log K',1.21,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,Log K',0.47,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,CHEMBL1727,Log K',1.11,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CHEMBL24,Log K',0.48,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,Log K',0.26,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CHEMBL570,Log K',1.05,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,CHEMBL894,Log K',0.05,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Log K',0.04,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,CHEMBL1200699,Log K',0.01,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2,Log K',0.06,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN/C(=N\CCSCc1nc[nH]c1C)NC#N,CHEMBL30,Log K',0.44,,CHEMBL702885,Binding constant against human serum albumin (HSA)
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL435,Log K',0.42,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1560,Log K',2.69,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,Log K',1.39,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CHEMBL1790041,Log K',0.1,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CHEMBL1108,Log K',0.43,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C=CCc1ccccc1OCC(O)CNC(C)C,CHEMBL266195,Log B/F,-0.121,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL386630,Log K',0.74,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,CHEMBL128,Log K',0.05,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CHEMBL421,Log K',0.56,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Cc1cc(=O)n(-c2ccccc2)n1C,CHEMBL277474,Log K',0.69,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Clc1cccc(Cl)c1NC1=NCCN1,CHEMBL134,Log K',0.13,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,CHEMBL170,Log K',0.49,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1465,Log B/F,2.128,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL1440,Log K',0.08,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,CHEMBL565,Log K',0.27,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL1294,Log K',0.44,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CHEMBL569713,Log K',0.34,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,CHEMBL2009312,Log K',0.21,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,Log B/F,0.278,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL103,Log K',0.59,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Nc1nc(=O)[nH]cc1F,CHEMBL1463,Log K',1.11,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,CHEMBL5315124,Log K',0.14,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,CHEMBL1436,Log K',1.33,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,Log B/F,0.919,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CHEMBL40,Log B/F,0.11,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CHEMBL498,Log K',0.44,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)NCC(O)COc1cccc2[nH]ccc12,CHEMBL500,Log K',0.13,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=C1CCC(c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,CHEMBL10272,Log B/F,0.087,,CHEMBL858645,Ability to bind to human serum albumin
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL472,Log K',0.68,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13,Log B/F,0.807,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,CHEMBL1095930,Log K',0.56,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,CHEMBL650,Log K',0.22,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL384467,Log B/F,0.454,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,CHEMBL154,Log K',0.25,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,Log K',0.52,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CHEMBL642,Log K',0.21,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=C(O)c1ccccc1O,CHEMBL424,Log K',0.66,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)CCCN1c2ccccc2Sc2ccccc21,CHEMBL564,Log K',0.92,,CHEMBL702885,Binding constant against human serum albumin (HSA)
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,CHEMBL253582,Log B/F,-2.886,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CCN(CC)CC(=O)Nc1c(C)cccc1C,CHEMBL79,Log K',0.23,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,CHEMBL36506,Log K',0.35,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL129,Log K',1.02,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCc1cc(=O)[nH]c(=S)[nH]1,CHEMBL1518,Log K',0.75,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,CHEMBL389621,Log K',0.4,,CHEMBL702885,Binding constant against human serum albumin (HSA)
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CHEMBL35,Log K',0.13,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CHEMBL101,Log B/F,1.619,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL1159524,Log B/F,-2.0,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,CHEMBL1224,Log K',0.02,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CHEMBL101,Log K',0.19,,CHEMBL702885,Binding constant against human serum albumin (HSA)
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CHEMBL54976,Log K',0.78,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,CHEMBL64391,Log K',1.04,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,CHEMBL254219,Log K',0.13,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(=O)Nc1ccc(O)cc1,CHEMBL112,Log K',0.81,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL615,Log K',0.69,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,CHEMBL131,Log K',0.4,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL157101,Log K',0.84,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,CHEMBL254219,Log B/F,3.222,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL8,Log K',0.14,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CHEMBL1434,Log K',0.21,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,Log K',0.37,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,CHEMBL135,Log K',0.68,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13,Log K',0.29,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCN(CC)CCOC(=O)c1ccc(N)cc1,CHEMBL569,Log K',0.19,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CHEMBL9,Log K',0.14,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,CHEMBL1093,Log B/F,-0.281,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CHEMBL16,Log K',0.0,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,CHEMBL817,Log K',0.42,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,CHEMBL521606,Log K',0.4,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCOC(=O)C1=CCCN(C(C)C)C1,CHEMBL152846,Log B/F,1.595,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CC(C)NCC(O)COc1cccc2ccccc12,CHEMBL27,Log K',0.28,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,CHEMBL428880,Log K',1.07,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CHEMBL130,Log K',0.46,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CHEMBL104,Log K',1.34,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,CHEMBL222863,Log B/F,1.066,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,CHEMBL1228,Log K',0.02,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,CHEMBL698,Log K',0.32,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CHEMBL113,Log K',0.92,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)c1cccc2c(S(=O)(=O)NCC(=O)O)cccc12,CHEMBL343297,Log K',0.26,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C=CCOc1ccccc1OCC(O)CNC(C)C,CHEMBL546,Log K',0.15,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CHEMBL12,Binding,86.1,%,CHEMBL646313,The ability concentration.)
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,CHEMBL62193,Binding,98.7,%,CHEMBL646314,The ability concentration.)
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL374478,Binding,73.3,%,CHEMBL646313,The ability concentration.)
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,CHEMBL254219,Binding,96.6,%,CHEMBL646313,The ability concentration.)
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CHEMBL16,Binding,63.4,%,CHEMBL646313,The ability concentration.)
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Binding,98.0,%,CHEMBL646313,The ability concentration.)
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,37.1,RU,CHEMBL644568,Warfarin (80 uM) response(early) on first day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,38.4,RU,CHEMBL645093,Warfarin (80 uM) response (early) on 7th day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,38.2,RU,CHEMBL644481,Warfarin (80 uM) response( between early and middle) on first day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,28.8,RU,CHEMBL645090,Warfarin (80 uM) response (between early and middle) on 7th day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,38.4,RU,CHEMBL876582,Warfarin (80 uM) response (middle) on first day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,41.3,RU,CHEMBL645096,Warfarin (80 uM) response (middle) on 7th day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,38.9,RU,CHEMBL645092,Warfarin (80 uM) response (between middle and late) on first day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,41.1,RU,CHEMBL645091,Warfarin (80 uM) response (between middle and late) on 7th day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,39.3,RU,CHEMBL645095,Warfarin (80 uM) response (late) on first day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,41.8,RU,CHEMBL645094,Warfarin (80 uM) response (late) on 7th day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,39.3,RU,CHEMBL645095,Warfarin (80 uM) response (late) on first day of human serum albumin (HSA) immobilization
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Response,41.8,RU,CHEMBL645094,Warfarin (80 uM) response (late) on 7th day of human serum albumin (HSA) immobilization
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,CHEMBL593,Binding,96.7,%,CHEMBL646314,The ability concentration.)
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CHEMBL163,Binding,99.0,%,CHEMBL646313,The ability concentration.)
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,CHEMBL170,Binding,34.6,%,CHEMBL646315,The ability binding to (HSA) human serum albumin (Binding classified based on injection of compound at 80 uM concn.)
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,CHEMBL154,Binding,99.7,%,CHEMBL646313,The ability concentration.)
O=c1ccc2ccccc2o1,CHEMBL6466,Binding,83.9,%,CHEMBL646313,The ability concentration.)
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,CHEMBL51,Binding,93.2,%,CHEMBL646314,The ability concentration.)
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,CHEMBL635,Binding,53.7,%,CHEMBL646313,The ability concentration.)
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(Cl)c4c(cc3nc2-1)OCO4,CHEMBL90636,K,1200.0,1/Maa,CHEMBL702882,Association constant for the binding of the carboxylate form to human serum albumin;(M aa)e-1
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(Cl)c4c(cc3nc2-1)OCO4,CHEMBL90636,Activity,1.6,,CHEMBL702880,Binding parameter of the carboxylate form to human serum albumin; n value
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc4c(cc3nc2-1)OCO4,CHEMBL52057,K,10.0,1/Maa,CHEMBL702883,Association constant for the binding of the lactone form to human serum albumin;(M aa)e-1
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc4c(cc3nc2-1)OCO4,CHEMBL52057,K,2200.0,1/Maa,CHEMBL702882,Association constant for the binding of the carboxylate form to human serum albumin;(M aa)e-1
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc4c(cc3nc2-1)OCO4,CHEMBL52057,Activity,1.3,,CHEMBL702881,Binding parameter of the lactone form to human serum albumin; n value
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc4c(cc3nc2-1)OCO4,CHEMBL52057,Activity,1.7,,CHEMBL702880,Binding parameter of the carboxylate form to human serum albumin; n value
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CHEMBL65,K,30.0,1/Maa,CHEMBL702883,Association constant for the binding of the lactone form to human serum albumin;(M aa)e-1
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CHEMBL65,K,4700.0,1/Maa,CHEMBL702882,Association constant for the binding of the carboxylate form to human serum albumin;(M aa)e-1
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CHEMBL65,Activity,1.8,,CHEMBL702881,Binding parameter of the lactone form to human serum albumin; n value
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CHEMBL65,Activity,2.3,,CHEMBL702880,Binding parameter of the carboxylate form to human serum albumin; n value
CCc1c(C)c2cc3nc(c(C(=O)OC)c4nc(cc5[nH]c(cc1[nH]2)C1(C)C5=CC=C(C(=O)OC)C1C(=O)OC)C(C)=C4C(=O)OC)[C@@H](CCCC(=O)OC)[C@@H]3C,CHEMBL346148,K,14400000.0,M-1,CHEMBL804548,Compound was tested for its binding ability to site II of Human serum albumin (HSA) expressed as binding constant
CCc1c(C)c2cc3nc(c4c5nc(cc6[nH]c(cc1[nH]2)C1(C)C6=CC=C(C(=O)OC)C1C(=O)OC)C(C)=C5C(=O)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C4=O)[C@@H](CCC(=O)OC)[C@@H]3C,CHEMBL405303,K,16000000.0,M-1,CHEMBL804548,Compound was tested for its binding ability to site II of Human serum albumin (HSA) expressed as binding constant
