Canon_SMILES,chembl_id,activity_type,value,units,assay_chembl_id,assay_description
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ratio,0.868,,CHEMBL3375862,Ratio of binding constant for human serum albumin in presence of Mn2+ to binding constant for human serum albumin in absence of metal ions
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ratio,0.961,,CHEMBL3375863,Ratio of binding constant for human serum albumin in presence of Cu2+ to binding constant for human serum albumin in absence of metal ions
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ratio,0.945,,CHEMBL3375864,Ratio of binding constant for human serum albumin in presence of Co2+ to binding constant for human serum albumin in absence of metal ions
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ratio,0.857,,CHEMBL3375865,Ratio of binding constant for human serum albumin in presence of Ni2+ to binding constant for human serum albumin in absence of metal ions
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ratio,0.741,,CHEMBL3375866,Ratio of binding constant for human serum albumin in presence of Fe3+ to binding constant for human serum albumin in absence of metal ions
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ratio,0.866,,CHEMBL3375867,Ratio of binding constant for human serum albumin in presence of Cr3+ to binding constant for human serum albumin in absence of metal ions
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ratio,0.905,,CHEMBL3375868,Ratio of binding constant for human serum albumin in presence of La3+ to binding constant for human serum albumin in absence of metal ions
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,Ka,6.47,10'-4L/mol,CHEMBL3375869,Binding affinity to human serum albumin by spectroscopy
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Kb,5.15,10'4L/mol,CHEMBL3387624,Binding affinity to human serum albumin by fluorescence spectrophotometry
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Kb,3.61,10'4L/mol,CHEMBL3387626,Binding affinity to human serum albumin by fluorescence spectrophotometry in presence of Ca2+
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Kb,5.07,10'4L/mol,CHEMBL3387625,Binding affinity to human serum albumin by fluorescence spectrophotometry in presence of Ni2+
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Kb,5.63,10'4L/mol,CHEMBL3387628,Binding affinity to human serum albumin by fluorescence spectrophotometry in presence of Mg2+
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Kb,3.42,10'4L/mol,CHEMBL3387629,Binding affinity to human serum albumin by fluorescence spectrophotometry in presence of K+
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Ratio,1.43,,CHEMBL3387631,"Drug transport index, ratio of Kb to K0 for human serum albumin by fluorescence spectrophotometry in presence of Ca2+"
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Ratio,1.02,,CHEMBL3387632,"Drug transport index, ratio of Kb to K0 for human serum albumin by fluorescence spectrophotometry in presence of Ni2+"
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Ratio,0.91,,CHEMBL3387633,"Drug transport index, ratio of Kb to K0 for human serum albumin by fluorescence spectrophotometry in presence of Mg2+"
Cc1ncc([N+](=O)[O-])n1CC(O)Cn1cc(C(=O)O)c(=O)c2ccc(C(F)(F)F)cc21,CHEMBL3334882,Ratio,1.51,,CHEMBL3387634,"Drug transport index, ratio of Kb to K0 for human serum albumin by fluorescence spectrophotometry in presence of K2+"
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,deltaG,-29.23,kJ/mol,CHEMBL3411005,Binding affinity to human serum albumin assessed as entropy change at 305K by thermodynamic analysis
COc1ccc(C(CCc2ccc(O)cc2OC)c2cc(CCC(=O)c3ccc(O)cc3)c(OC)cc2O)cc1,CHEMBL254649,deltaG,-31.09,kJ/mol,CHEMBL3411004,Binding affinity to human serum albumin assessed as entropy change at 300K by thermodynamic analysis
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,CHEMBL253779,deltaG,-29.28,kJ/mol,CHEMBL3411004,Binding affinity to human serum albumin assessed as entropy change at 300K by thermodynamic analysis
