Drug,Y
CC(C)Cc1ccc([C@@H](C)C(=O)NCCOCCO)cc1,83.1
CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,99.9
CC(C)Cc1ccc([C@@H](C)C(=O)N[C@H](C)C(=O)O)cc1,96.0
CC(C)N(C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,58.0
CC(C)NCC(O)COc1cccc2ccccc12,62.5
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,17.5
CC(C)[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)Nc1nccs1,10.0
CC(C)[C@H](NC(=O)c1cc2ccccc2oc1=O)C(=O)Nc1nccs1,10.0
CC(C)[C@H](NC(=O)c1cccs1)C(=O)Nc1nccs1,10.0
CC(Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1)C(=O)O,70.2
CC(N[C@H]1CC[C@H](NC(=O)c2cnc3nc(C4CC4)ccc3c2)CC1)C(F)F,82.0
CC(O)(COc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,94.7
CC(O)(CS(=O)(=O)c1ccccc1OC(F)(F)F)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,78.3
CC(Oc1cc2oc(=O)n(CCC(=O)O)c2cc1Cl)c1ccccn1.NC(CO)(CO)CO,87.1
CC1(C)C(=O)N(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1CC#N,48.2
CC1(C)C(=O)N(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1CC(N)=O,20.3
CC1(C)C(=O)N(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1CCc1ccccc1,96.2
CC1(C)C(=O)N(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1S(=O)(=O)c1ccccc1,96.1
CC1(C)C(=O)N(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1S(C)(=O)=O,66.0
CC1(C)C(=O)N(c2ccc([N+](=O)[O-])cc2C(F)(F)F)C(=S)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,99.9
CC1(C)C(=O)NC(=O)N1c1ccc(F)c(C(F)(F)F)c1,67.1
CC1(C)CC(=O)N(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1,15.0
CC1(C)CC(=O)N(c2ccc(F)c(C(F)(F)F)c2)C1=O,42.5
CC1(C)CN(c2ccc(F)c(C(F)(F)F)c2)C(=O)N1,78.3
CC1(C)CNC(=O)N(c2ccc(F)c(C(F)(F)F)c2)C1=O,21.5
CC1(C)NC(=O)C(c2ccc(F)c(C(F)(F)F)c2)C1=O,93.3
CC1(C)NC(=O)N(Cc2ccc(F)c(C(F)(F)F)c2)C1=O,82.1
CC1(C)NC(=O)N(c2ccc(C(F)(F)F)nc2)C1=O,18.3
CC1(C)NC(=O)N(c2ccc(Cl)c(C(F)(F)F)c2)C1=O,79.6
CC1(C)NC(=O)N(c2ccc(F)c(C#N)c2)C1=O,14.6
CC1(C)NC(=O)N(c2ccc(F)c(C(F)(F)F)c2)C1=O,52.1
CC1(C)NC(=O)N(c2ccc(F)c(C(F)F)c2)C1=O,20.4
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,70.3
CC1(C)NC(=O)N(c2cccc(C(F)(F)F)c2)C1=O,49.3
CC1(C)NC(=O)N(c2cccnc2)C1=O,6.6
CC1(C)NC(=O)N(c2ccnc(C(F)(F)F)c2)C1=O,22.7
CC1(C)NC(=O)N(c2ccnc3ccccc23)C1=O,16.9
CC1(C)NC(=O)N(c2ccncc2)C1=O,6.7
CC1(C)NC(=O)N(c2cnccn2)C1=O,5.8
CC1(C)OC(=O)N(c2ccc(F)c(C(F)(F)F)c2)C1=O,58.1
CC1(CO)NC(=O)N(c2ccc(F)c(C(F)(F)F)c2)C1=O,34.3
CC1=C(C(=O)O)C(=O)/C(=C\c2cc(C)n(-c3ccccc3C(F)(F)F)c2C)N1,93.7
CC1=C(C(=O)OC(C)(C)C)C(=O)/C(=C\c2cc(C)n(-c3ccccc3C(F)(F)F)c2C)N1,93.7
CC1=C(C(=O)OCc2ccccc2)C(=O)/C(=C\c2cc(C)n(-c3ccccc3C(F)(F)F)c2C)N1,93.7
CC1=C(C(N)=O)C(=O)/C(=C\c2cc(C)n(-c3ccccc3C(F)(F)F)c2C)N1,93.7
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,93.0
CC1NC(=O)N(c2ccc(F)c(C(F)F)c2)C1=O,38.6
CCC(C#N)(CC)Nc1nc(NC)nc(-n2cncn2)n1,51.0
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,92.28
